;Borough;Block;Lot;CD;BCT2020;BCTCB2020;CT2010;CB2010;SchoolDist;Council;ZipCode;FireComp;PolicePrct;HealthCent;HealthArea;Sanitboro;SanitDistr;SanitSub;Address;ZoneDist1;ZoneDist2;ZoneDist3;ZoneDist4;Overlay1;Overlay2;SPDist1;SPDist2;SPDist3;LtdHeight;SplitZone;BldgClass;LandUse;Easements;OwnerType;OwnerName;LotArea;BldgArea;ComArea;ResArea;OfficeArea;RetailArea;GarageArea;StrgeArea;FactryArea;OtherArea;AreaSource;NumBldgs;NumFloors;UnitsRes;UnitsTotal;LotFront;LotDepth;BldgFront;BldgDepth;Ext;ProxCode;IrrLotCode;LotType;BsmtCode;AssessLand;AssessTot;ExemptTot;YearBuilt;YearAlter1;YearAlter2;HistDist;Landmark;BuiltFAR;ResidFAR;CommFAR;FacilFAR;BoroCode;BBL;CondoNo;Tract2010;XCoord;YCoord;ZoneMap;ZMCode;Sanborn;TaxMap;EDesigNum;APPBBL;APPDate;PLUTOMapID;FIRM07_FLA;PFIRM15_FL;Version;DCPEdited;Latitude;Longitude;Notes;Shape_Leng;Shape_Area;guid
338;BK;2134;156;103;1001001;10010010003;10.01;0001;;2;0;;0;0;0;;;;KENT AVENUE;R7-3;;;;;;;;;;N;V0;11;0;C;NYC DEPARTMENT OF SMALL BUSINESS SERVICES;34524;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;137.0;252.0;0.0;0.0;N;0;N;5;0;3660.0;3660.0;3660.0;0;0;0;;;0.0;5.0;0.0;5.0;3;3021340156.0;0;001001;992531;197960;12d;;303 006;30801;;0.0;;1;1;1;23v2;t;40.7100273;-73.9701305;;0.0;16.7646552;343c92fc-40ab-3745-bdd9-dd46275e2949
964;BK;6991;33;313;3034800;30348001018;348;1008;;47;0;;0;0;0;;;;CONEY ISLAND AVENUE;C3;;;;;;;;;;N;V1;11;0;C;NYC DEPARTMENT OF SMALL BUSINESS SERVICES;26330;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;152.25;88.33;0.0;0.0;N;0;Y;5;0;151650.0;151650.0;151650.0;0;0;0;;;0.0;0.5;0.5;1.0;3;3069910033.0;0;0348;987311;150240;28d;;318 061;32103;;0.0;;1;1;1;23v2;t;40.5790496;-73.9889806;;0.0;896.5486648;cf95fa76-bab8-4d44-a5d2-f88d8c867765
44;BK;662;200;307;3001802;30018020001;18;0003;;38;0;;0;0;0;;;;2 AVENUE;M3-1;;;;;;;;;;N;V1;11;0;C;NYC DEPARTMENT OF CITYWIDE ADMINISTRATIVE SERVICES;19200;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;30.0;640.0;0.0;0.0;;0;N;5;5;598050.0;598050.0;598050.0;0;0;0;;;0.0;0.0;2.0;0.0;3;3006620200.0;0;0018;982812;180470;16b;;306 007;30302;;0.0;;1;1;1;23v2;t;40.662025;-74.0051831;;0.0;874.0721866;0698d13f-b43e-2b4d-8ab5-0cf62f14ba03
875;BK;2453;20;103;1001002;10010020001;10.02;0001;;2;0;;0;0;0;;;;SOUTH 5 STREET;R8;M3-1;;;C2-4;;;;;;Y;V7;11;0;C;NYC DEPARTMENT OF SMALL BUSINESS SERVICES;18300;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;60.0;305.0;0.0;0.0;;0;N;5;5;1975950.0;1975950.0;1975950.0;0;0;0;;;0.0;6.02;0.0;6.5;3;3024530020.0;0;001002;992839;199063;12d;;303 006;30806;;0.0;;1;1;1;23v2;t;40.7130545;-73.9690181;;0.0;211.0369369;04837fb9-d960-fb49-9e70-cefcbd722112
875;BK;2453;20;103;1001002;10010020001;10.02;0001;;2;0;;0;0;0;;;;SOUTH 5 STREET;R8;M3-1;;;C2-4;;;;;;Y;V7;11;0;C;NYC DEPARTMENT OF SMALL BUSINESS SERVICES;18300;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;60.0;305.0;0.0;0.0;;0;N;5;5;1975950.0;1975950.0;1975950.0;0;0;0;;;0.0;6.02;0.0;6.5;3;3024530020.0;0;001002;992839;199063;12d;;303 006;30806;;0.0;;1;1;1;23v2;t;40.7130545;-73.9690181;;0.0;211.0369369;5ac8827b-f54a-1e4a-a347-95fa0acf7617
50;BK;199;1;101;1001501;10015010002;15.01;0001;;1;0;;0;0;0;;;;42 FURMAN STREET;M2-1;;;;;;;;;;N;V1;11;0;C;NYC DEPARTMENT OF SMALL BUSINESS SERVICES;13545;0;0;0;0;0;0;0;0;0;7;1;0.0;0;0;43.0;327.0;0.0;0.0;N;0;Y;5;0;152550.0;197100.0;197100.0;0;0;0;;;0.0;0.0;2.0;0.0;3;3001990001.0;0;001501;985465;195481;12d;;302 003;30106;;3001990001.0;01/21/2015;1;1;1;23v2;t;40.7032268;-73.9956179;;0.0;54.4010037;9d1d2be9-ec1b-da4c-bf97-a3bf7a61ea1a
50;BK;199;1;101;1001501;10015010002;15.01;0001;;1;0;;0;0;0;;;;42 FURMAN STREET;M2-1;;;;;;;;;;N;V1;11;0;C;NYC DEPARTMENT OF SMALL BUSINESS SERVICES;13545;0;0;0;0;0;0;0;0;0;7;1;0.0;0;0;43.0;327.0;0.0;0.0;N;0;Y;5;0;152550.0;197100.0;197100.0;0;0;0;;;0.0;0.0;2.0;0.0;3;3001990001.0;0;001501;985465;195481;12d;;302 003;30106;;3001990001.0;01/21/2015;1;1;1;23v2;t;40.7032268;-73.9956179;;0.0;54.4010037;7811e682-bd32-5242-8c5e-515ff2cb2c0d
361;BK;2355;20;103;1002400;10024000001;24;0001;;2;0;;0;0;0;;;;RIVER STREET;C6-2;;;;;;;;;;N;V1;11;0;C;NYC DEPARTMENT OF SMALL BUSINESS SERVICES;8923;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;31.0;287.83;0.0;0.0;N;0;N;5;0;63000.0;63000.0;63000.0;0;0;0;;;0.0;6.02;6.0;6.5;3;3023550020.0;0;0024;993534;201079;12c;;304 001;30804;E-636;0.0;;1;1;1;23v2;t;40.7185872;-73.9665084;;0.0;399.3646255;32598b28-aff9-164b-a2a4-02fced62bd85
993;BK;8273;377;318;3105804;31058041000;1058.04;1000;;42;0;;0;0;0;;;;EAST 108 STREET;R5;;;;;;;;;;N;V9;11;0;C;NYC DEPARTMENT OF PARKS AND RECREATION;7490;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;200.0;106.0;0.0;0.0;;0;Y;5;5;337950.0;337950.0;337950.0;0;0;0;;;0.0;1.25;0.0;2.0;3;3082730377.0;0;105804;1016646;173506;23c;;317 085;32406;;0.0;;1;1;1;23v2;t;40.6428512;-73.8832654;;0.0;18547.2729202;0e8ffb13-4c52-854f-ab91-c17e27f8938a
993;BK;8273;377;318;3105804;31058041000;1058.04;1000;;42;0;;0;0;0;;;;EAST 108 STREET;R5;;;;;;;;;;N;V9;11;0;C;NYC DEPARTMENT OF PARKS AND RECREATION;7490;0;0;0;0;0;0;0;0;0;7;0;0.0;0;0;200.0;106.0;0.0;0.0;;0;Y;5;5;337950.0;337950.0;337950.0;0;0;0;;;0.0;1.25;0.0;2.0;3;3082730377.0;0;105804;1016646;173506;23c;;317 085;32406;;0.0;;1;1;1;23v2;t;40.6428512;-73.8832654;;0.0;18547.2729202;6887150c-8ce4-5e49-8465-2795061cda3c
